"wday";"hour";"sensor";"sensores";"value_PM25"
"jue\,";19;"SINCA";"PM25_SINCA";61
"jue\,";20;"P1";"value";151,867
"jue\,";20;"SINCA";"PM25_SINCA";49
"jue\,";20;"P2";"value";155,117
"jue\,";20;"SINCA";"PM25_SINCA";49
"jue\,";20;"P3";"value";151,1
"jue\,";20;"SINCA";"PM25_SINCA";49
"jue\,";20;"P4";"value";168,55
"jue\,";20;"SINCA";"PM25_SINCA";49
"jue\,";20;"P5";"value";161,45
"jue\,";20;"SINCA";"PM25_SINCA";49
"jue\,";21;"P1";"value";143,9
"jue\,";21;"SINCA";"PM25_SINCA";36
"jue\,";21;"P2";"value";146,85
"jue\,";21;"SINCA";"PM25_SINCA";36
"jue\,";21;"P3";"value";143,467
"jue\,";21;"SINCA";"PM25_SINCA";36
"jue\,";21;"P4";"value";154,617
"jue\,";21;"SINCA";"PM25_SINCA";36
"jue\,";21;"P5";"value";152,767
"jue\,";21;"SINCA";"PM25_SINCA";36
"jue\,";22;"P1";"value";138,667
"jue\,";22;"SINCA";"PM25_SINCA";27
"jue\,";22;"P2";"value";141,183
"jue\,";22;"SINCA";"PM25_SINCA";27
"jue\,";22;"P3";"value";138,083
"jue\,";22;"SINCA";"PM25_SINCA";27
"jue\,";22;"P4";"value";148,283
"jue\,";22;"SINCA";"PM25_SINCA";27
"jue\,";22;"P5";"value";146,867
"jue\,";22;"SINCA";"PM25_SINCA";27
"jue\,";23;"P1";"value";134,583
"jue\,";23;"SINCA";"PM25_SINCA";27
"jue\,";23;"P2";"value";136,7
"jue\,";23;"SINCA";"PM25_SINCA";27
"jue\,";23;"P3";"value";133,45
"jue\,";23;"SINCA";"PM25_SINCA";27
"jue\,";23;"P4";"value";143,5
"jue\,";23;"SINCA";"PM25_SINCA";27
"jue\,";23;"P5";"value";142,717
"jue\,";23;"SINCA";"PM25_SINCA";27
"vie\,";0;"P1";"value";125,9
"vie\,";0;"SINCA";"PM25_SINCA";17
"vie\,";0;"P2";"value";126,767
"vie\,";0;"SINCA";"PM25_SINCA";17
"vie\,";0;"P3";"value";123,75
"vie\,";0;"SINCA";"PM25_SINCA";17
"vie\,";0;"P4";"value";135,133
"vie\,";0;"SINCA";"PM25_SINCA";17
"vie\,";0;"P5";"value";133,267
"vie\,";0;"SINCA";"PM25_SINCA";17
"vie\,";1;"P1";"value";114,083
"vie\,";1;"SINCA";"PM25_SINCA";12
"vie\,";1;"P2";"value";113,283
"vie\,";1;"SINCA";"PM25_SINCA";12
"vie\,";1;"P3";"value";111,217
"vie\,";1;"SINCA";"PM25_SINCA";12
"vie\,";1;"P4";"value";123,917
"vie\,";1;"SINCA";"PM25_SINCA";12
"vie\,";1;"P5";"value";122,017
"vie\,";1;"SINCA";"PM25_SINCA";12
"vie\,";2;"P1";"value";106,433
"vie\,";2;"SINCA";"PM25_SINCA";8
"vie\,";2;"P2";"value";106,45
"vie\,";2;"SINCA";"PM25_SINCA";8
"vie\,";2;"P3";"value";106,25
"vie\,";2;"SINCA";"PM25_SINCA";8
"vie\,";2;"P4";"value";112,783
