date;hour;wday;variable;sensor;value;variable_SINCA;sensor_SINCA;value_SINCA
05-06-2025 12:00;12;jue\,;PM25;P1;142,25;PM25;SINCA;37
05-06-2025 12:00;12;jue\,;PM25;P2;145,1;PM25;SINCA;37
05-06-2025 12:00;12;jue\,;PM25;P3;143,633;PM25;SINCA;37
05-06-2025 12:00;12;jue\,;PM25;P4;150,167;PM25;SINCA;37
05-06-2025 12:00;12;jue\,;PM25;P5;150,617;PM25;SINCA;37
05-06-2025 13:00;13;jue\,;PM25;P1;140,067;PM25;SINCA;33
05-06-2025 13:00;13;jue\,;PM25;P2;142,5;PM25;SINCA;33
05-06-2025 13:00;13;jue\,;PM25;P3;141,183;PM25;SINCA;33
05-06-2025 13:00;13;jue\,;PM25;P4;148,25;PM25;SINCA;33
05-06-2025 13:00;13;jue\,;PM25;P5;148,483;PM25;SINCA;33
05-06-2025 14:00;14;jue\,;PM25;P1;142,8;PM25;SINCA;42
05-06-2025 14:00;14;jue\,;PM25;P2;145,267;PM25;SINCA;42
05-06-2025 14:00;14;jue\,;PM25;P3;143,85;PM25;SINCA;42
05-06-2025 14:00;14;jue\,;PM25;P4;152,983;PM25;SINCA;42
05-06-2025 14:00;14;jue\,;PM25;P5;151,3;PM25;SINCA;42
05-06-2025 15:00;15;jue\,;PM25;P1;157,183;PM25;SINCA;57
05-06-2025 15:00;15;jue\,;PM25;P2;163,233;PM25;SINCA;57
05-06-2025 15:00;15;jue\,;PM25;P3;158,867;PM25;SINCA;57
05-06-2025 15:00;15;jue\,;PM25;P4;180,383;PM25;SINCA;57
05-06-2025 15:00;15;jue\,;PM25;P5;172,717;PM25;SINCA;57
05-06-2025 16:00;16;jue\,;PM25;P1;180,067;PM25;SINCA;82
05-06-2025 16:00;16;jue\,;PM25;P2;190,017;PM25;SINCA;82
05-06-2025 16:00;16;jue\,;PM25;P3;181,9;PM25;SINCA;82
05-06-2025 16:00;16;jue\,;PM25;P4;215,717;PM25;SINCA;82
05-06-2025 16:00;16;jue\,;PM25;P5;200,4;PM25;SINCA;82
05-06-2025 17:00;17;jue\,;PM25;P1;184,717;PM25;SINCA;86
05-06-2025 17:00;17;jue\,;PM25;P2;189,183;PM25;SINCA;86
05-06-2025 17:00;17;jue\,;PM25;P3;181,383;PM25;SINCA;86
05-06-2025 17:00;17;jue\,;PM25;P4;220,783;PM25;SINCA;86
05-06-2025 17:00;17;jue\,;PM25;P5;203,333;PM25;SINCA;86
05-06-2025 18:00;18;jue\,;PM25;P1;179,333;PM25;SINCA;78
05-06-2025 18:00;18;jue\,;PM25;P2;184,817;PM25;SINCA;78
05-06-2025 18:00;18;jue\,;PM25;P3;175,167;PM25;SINCA;78
05-06-2025 18:00;18;jue\,;PM25;P4;215,217;PM25;SINCA;78
05-06-2025 18:00;18;jue\,;PM25;P5;195,067;PM25;SINCA;78
05-06-2025 19:00;19;jue\,;PM25;P1;159,167;PM25;SINCA;61
05-06-2025 19:00;19;jue\,;PM25;P2;163;PM25;SINCA;61
05-06-2025 19:00;19;jue\,;PM25;P3;157,867;PM25;SINCA;61
05-06-2025 19:00;19;jue\,;PM25;P4;185,2;PM25;SINCA;61
05-06-2025 19:00;19;jue\,;PM25;P5;172,583;PM25;SINCA;61
05-06-2025 20:00;20;jue\,;PM25;P1;151,867;PM25;SINCA;49
05-06-2025 20:00;20;jue\,;PM25;P2;155,117;PM25;SINCA;49
05-06-2025 20:00;20;jue\,;PM25;P3;151,1;PM25;SINCA;49
05-06-2025 20:00;20;jue\,;PM25;P4;168,55;PM25;SINCA;49
05-06-2025 20:00;20;jue\,;PM25;P5;161,45;PM25;SINCA;49
05-06-2025 21:00;21;jue\,;PM25;P1;143,9;PM25;SINCA;36
05-06-2025 21:00;21;jue\,;PM25;P2;146,85;PM25;SINCA;36
05-06-2025 21:00;21;jue\,;PM25;P3;143,467;PM25;SINCA;36
05-06-2025 21:00;21;jue\,;PM25;P4;154,617;PM25;SINCA;36
05-06-2025 21:00;21;jue\,;PM25;P5;152,767;PM25;SINCA;36
05-06-2025 22:00;22;jue\,;PM25;P1;138,667;PM25;SINCA;27
05-06-2025 22:00;22;jue\,;PM25;P2;141,183;PM25;SINCA;27
05-06-2025 22:00;22;jue\,;PM25;P3;138,083;PM25;SINCA;27
05-06-2025 22:00;22;jue\,;PM25;P4;148,283;PM25;SINCA;27
05-06-2025 22:00;22;jue\,;PM25;P5;146,867;PM25;SINCA;27
05-06-2025 23:00;23;jue\,;PM25;P1;134,583;PM25;SINCA;27
05-06-2025 23:00;23;jue\,;PM25;P2;136,7;PM25;SINCA;27
05-06-2025 23:00;23;jue\,;PM25;P3;133,45;PM25;SINCA;27
05-06-2025 23:00;23;jue\,;PM25;P4;143,5;PM25;SINCA;27
05-06-2025 23:00;23;jue\,;PM25;P5;142,717;PM25;SINCA;27
06-06-2025;0;vie\,;PM25;P1;125,9;PM25;SINCA;17
06-06-2025;0;vie\,;PM25;P2;126,767;PM25;SINCA;17
06-06-2025;0;vie\,;PM25;P3;123,75;PM25;SINCA;17
06-06-2025;0;vie\,;PM25;P4;135,133;PM25;SINCA;17
06-06-2025;0;vie\,;PM25;P5;133,267;PM25;SINCA;17
06-06-2025 1:00;1;vie\,;PM25;P1;114,083;PM25;SINCA;12
06-06-2025 1:00;1;vie\,;PM25;P2;113,283;PM25;SINCA;12
06-06-2025 1:00;1;vie\,;PM25;P3;111,217;PM25;SINCA;12
06-06-2025 1:00;1;vie\,;PM25;P4;123,917;PM25;SINCA;12
06-06-2025 1:00;1;vie\,;PM25;P5;122,017;PM25;SINCA;12
06-06-2025 2:00;2;vie\,;PM25;P1;106,433;PM25;SINCA;8
06-06-2025 2:00;2;vie\,;PM25;P2;106,45;PM25;SINCA;8
06-06-2025 2:00;2;vie\,;PM25;P3;106,25;PM25;SINCA;8
06-06-2025 2:00;2;vie\,;PM25;P4;112,783;PM25;SINCA;8
06-06-2025 2:00;2;vie\,;PM25;P5;112,483;PM25;SINCA;8
06-06-2025 3:00;3;vie\,;PM25;P1;102,233;PM25;SINCA;6
06-06-2025 3:00;3;vie\,;PM25;P2;102,733;PM25;SINCA;6
06-06-2025 3:00;3;vie\,;PM25;P3;102,667;PM25;SINCA;6
06-06-2025 3:00;3;vie\,;PM25;P4;106,617;PM25;SINCA;6
06-06-2025 3:00;3;vie\,;PM25;P5;107,767;PM25;SINCA;6
06-06-2025 4:00;4;vie\,;PM25;P1;100,05;PM25;SINCA;4
06-06-2025 4:00;4;vie\,;PM25;P2;100,333;PM25;SINCA;4
06-06-2025 4:00;4;vie\,;PM25;P3;100,983;PM25;SINCA;4
06-06-2025 4:00;4;vie\,;PM25;P4;104,433;PM25;SINCA;4
06-06-2025 4:00;4;vie\,;PM25;P5;105,467;PM25;SINCA;4
06-06-2025 5:00;5;vie\,;PM25;P1;99,033;PM25;SINCA;6
06-06-2025 5:00;5;vie\,;PM25;P2;99,467;PM25;SINCA;6
06-06-2025 5:00;5;vie\,;PM25;P3;100,1;PM25;SINCA;6
06-06-2025 5:00;5;vie\,;PM25;P4;103,133;PM25;SINCA;6
06-06-2025 5:00;5;vie\,;PM25;P5;104,2;PM25;SINCA;6
06-06-2025 6:00;6;vie\,;PM25;P1;98,083;PM25;SINCA;7
06-06-2025 6:00;6;vie\,;PM25;P2;99,05;PM25;SINCA;7
06-06-2025 6:00;6;vie\,;PM25;P3;100;PM25;SINCA;7
06-06-2025 6:00;6;vie\,;PM25;P4;102,05;PM25;SINCA;7
06-06-2025 6:00;6;vie\,;PM25;P5;103,167;PM25;SINCA;7
06-06-2025 7:00;7;vie\,;PM25;P1;99,167;PM25;SINCA;4
06-06-2025 7:00;7;vie\,;PM25;P2;99,817;PM25;SINCA;4
06-06-2025 7:00;7;vie\,;PM25;P3;100,533;PM25;SINCA;4
06-06-2025 7:00;7;vie\,;PM25;P4;102,65;PM25;SINCA;4
06-06-2025 7:00;7;vie\,;PM25;P5;104,2;PM25;SINCA;4
06-06-2025 8:00;8;vie\,;PM25;P1;103,383;PM25;SINCA;11
06-06-2025 8:00;8;vie\,;PM25;P2;103,867;PM25;SINCA;11
06-06-2025 8:00;8;vie\,;PM25;P3;103,9;PM25;SINCA;11
06-06-2025 8:00;8;vie\,;PM25;P4;105,95;PM25;SINCA;11
06-06-2025 8:00;8;vie\,;PM25;P5;108,783;PM25;SINCA;11
06-06-2025 9:00;9;vie\,;PM25;P1;101,833;PM25;SINCA;8
06-06-2025 9:00;9;vie\,;PM25;P2;102,633;PM25;SINCA;8
